College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City,State,Country,College Type,Average Fees,Matched Courses
Visvesvaraya National Institute of Technology Nagpur ,Co-Ed,215 Acres,1071.0,192.0,2007.0,2.7,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Nagpur,Maharashtra,India,Public/Government,273596.6666666667,"['Computer Science and Engineering', 'Electrical Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Petro Chemical Engineering', 'Civil Engineering', 'Mining Engineering', 'Pharmaceuticals Chemistry and Technology', 'Petro Chemical Engineering', 'Computer Science and Engineering', 'Food Technology And Management', 'Civil and Environmental Engineering', 'Structural Engineering', 'Structural Engineering', 'Electronics Engineering ( VLSI Design and Technology)', 'Petro Chemical Engineering', 'Pharmaceuticals Chemistry and Technology', 'Civil Engineering', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Mining Engineering']"
"Institute of Chemical Technology, Matunga, Mumbai",Co-Ed,16 Acres,1753.0,116.0,2008.0,4.8,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Public/Government,189512.8205128205,"['Petro Chemical Engineering', 'Fibres and Textile Processing Technology', 'Chemical Engineering', 'Plastic and Polymer Engineering', 'Pharmaceuticals Chemistry and Technology', 'Textile Chemistry', 'Dyestuff Technology', 'Pharmaceuticals Chemistry and Technology', 'Dyestuff Technology', 'Fibres and Textile Processing Technology', 'Oil,Oleochemicals and Surfactants Technology', 'Pharmaceuticals Chemistry and Technology', 'Polymer Engineering and Technology', 'Surface Coating Technology', 'Food Technology', 'Oil,Oleochemicals and Surfactants Technology', 'Polymer Engineering and Technology', 'Surface Coating Technology', 'Food Technology', 'Food Technology', 'Pharmaceuticals Chemistry and Technology', 'Polymer Engineering and Technology', 'Surface Coating Technology', 'Pharmaceutical and Fine Chemical Technology', 'Dyestuff Technology', 'Food Technology', 'Chemical Engineering', 'Chemical Engineering', 'Bio Technology', 'Petro Chemical Engineering', 'Pharmaceuticals Chemistry and Technology', 'Civil Engineering', 'Dyestuff Technology', 'Electrical Engineering', 'Electronics and Computer Engineering', 'Textile Technology', 'Food Technology', 'Food Technology', 'Mechanical Engineering', 'Oil,Oleochemicals and Surfactants Technology', 'Pharmaceutical and Fine Chemical Technology', 'Plastic and Polymer Engineering', 'Polymer Engineering and Technology', 'Surface Coating Technology', 'Textile Chemistry']"
Maharashtra Institute of Technology,Co-Ed,17 Acres,1647.0,235.0,1983.0,3.0,"Dr Vishwanath Karad MIT World Peace University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,695000.0,"['Computer Science and Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Information Technology', 'Plastic and Polymer Engineering', 'Mechanical Engineering', 'Computer Science and Engineering', 'Electronics Engineering ( VLSI Design and Technology)', 'Information Technology', 'Structural Engineering', 'Plastic and Polymer Engineering', 'Civil Engineering', 'Electronics and Computer Engineering', 'Mechanical Engineering', 'Plastic and Polymer Engineering']"
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Co-Ed,16 Acres,3575.0,134.0,1887.0,4.8,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Convenience Store, Alumni Associations",Mumbai,Maharashtra,India,Public/Government,177209.41176470587,"['Civil Engineering', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics Engineering', 'Electronics and Computer Engineering', 'Information Technology', 'Mechanical Engineering', 'Production Engineering', 'Textile Engineering / Technology', 'Chemical Engineering', 'Civil Engineering', 'Electrical Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Automobile Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Electronics and Computer Engineering', 'Structural Engineering', 'Automobile Engineering', 'Production Engineering', 'Textile Engineering / Technology', 'Civil and Environmental Engineering', 'Pharmaceuticals Chemistry and Technology', 'Civil Engineering', 'Information Technology', 'Electrical Engineering', 'Electronics and Computer Engineering', 'Mechanical Engineering', 'Production Engineering', 'Textile Engineering / Technology']"
MIT College of Engineering,Co-Ed,,1607.0,152.0,2001.0,3.0,"Dr Vishwanath Karad MIT World Peace University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations",Pune,Maharashtra,India,Private,943500.0,"['Computer Science and Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Electronics Engineering', 'Petro Chemical Engineering', 'Electrical Engineering', 'Plastic and Polymer Engineering', 'Automation and Robotics', 'Data Science', 'Electronics Engineering ( VLSI Design and Technology)', 'Structural Engineering', 'Cyber Security', 'Plastic and Polymer Engineering']"
Vishwakarma Institute of Technology,Co-Ed,18 Acres,,202.0,1983.0,4.4,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",Pune,Maharashtra,India,Private,511550.0,"['Computer Science and Engineering', 'Electronics Engineering', 'Instrumentation Engineering', 'Mechanical Engineering', 'Petro Chemical Engineering', 'Computer Engineering', 'Electronics Engineering', 'Information Technology', 'Mechanical Engineering', 'Production Engineering', 'Petro Chemical Engineering', 'Computer Science and Engineering', 'Electronics Engineering ( VLSI Design and Technology)', 'Electronics Engineering', 'Instrumentation Engineering', 'Electronics and Computer Engineering', 'Petro Chemical Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Instrumentation Engineering', 'Mechanical Engineering']"
Savitribai Phule Pune University,Co-Ed,411 Acres,8185.0,686.0,1949.0,2.9,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Convenience Store, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Public/Government,268075.6818181818,"['Pharmaceuticals Chemistry and Technology', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Instrumentation Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Information Technology', 'Information Technology', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Pharmaceuticals Chemistry and Technology', 'Pharmaceuticals Chemistry and Technology', 'Pharmaceuticals Chemistry and Technology', 'Computer Science and Engineering']"
Symbiosis International University,Co-Ed,300 Acres,187.0,1321.0,2002.0,2.8,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Alumni Associations",Pune,Maharashtra,India,Private,706753.2110091744,"['Electronics Engineering', 'Mechanical Engineering', 'Information Technology', 'Information Technology', 'Civil Engineering', 'Computer Science and Engineering', 'Information Technology', 'Bio Technology', 'Electronics Engineering', 'Mechanical Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Information Technology']"
Dr DY Patil University,Co-Ed,72 Acres,6899.0,538.0,2002.0,2.9,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations",Navi Mumbai,Maharashtra,India,Private,1984333.3333333333,"['Bio Technology', 'Data Science', 'Bio Medical Engineering', 'Food Technology', 'Bio Technology', 'Food Technology']"
"Sinhgad College of Engineering, Vadgaon (BK), Pune",Co-Ed,5 Acres,5292.0,300.0,1996.0,3.4,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Swimming Pool, Alumni Associations",Pune,Maharashtra,India,Private,400476.1904761905,"['Mechanical Engineering', 'Electronics Engineering', 'Information Technology', 'Civil Engineering', 'Computer Science and Engineering', 'Bio Technology', 'Petro Chemical Engineering', 'Civil Engineering', 'Computer Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Production Engineering', 'Automobile Engineering', 'Electronics Engineering ( VLSI Design and Technology)', 'Civil and Environmental Engineering', 'Mechatronics Engineering', 'Structural Engineering', 'Petro Chemical Engineering', 'Civil Engineering', 'Electronics Engineering', 'Mechanical Engineering']"
